facility_id,name,country_iso3,country,location,lat_lon,type,status,lithium_form,coproducts_byproducts,companies,evidence_tier,source_file
mng-baavhai-uul-project-fac,Baavhai Uul Exploration,MNG,Mongolia,"Sükhbaatar, Sükhbaatar Province, Mongolia","46.4253, 113.5077",plant,unknown,Lithium,,Aranjin Resources Ltd.; ION Energy Ltd.,A,facilities/MNG/mng-baavhai-uul-project-fac.json
mng-tsagan-chuluut-project-fac,Tsagan Chuluut Exploration,MNG,Mongolia,"Ulaanbaatar, Central Mongolia, Mongolia","47.8352, 111.2880",plant,unknown,Lithium,,Lithium Century; Sinomine Resources Group,A,facilities/MNG/mng-tsagan-chuluut-project-fac.json
mng-urgakh-naran-project-fac,Urgakh Naran Exploration,MNG,Mongolia,"Dorngovi, Mongolia","44.5000, 109.5000",plant,unknown,Lithium,,ION Energy Limited,A,facilities/MNG/mng-urgakh-naran-project-fac.json
mne-nik-i-bauxite-mines-fac,Nikšić Bauxite Mines Facility,MNE,Montenegro,Montenegro,"42.7620, 19.0820",plant,unknown,Lithium,Aluminium (from bauxite); Cerium; Dysprosium; Erbium; Europium; Gadolinium; Gallium; Iron ore; Lanthanum; Neodymium; Niobium; Praseodymium; Samarium; Terbium; Vanadium; Yttrium,Central European Aluminum Company (CEAC); Government of Montenegro; Uniprom Metal d.o.o.,A,facilities/MNE/mne-nik-i-bauxite-mines-fac.json
mar-cobco-battery-materials-plant-fac,Cobco Battery Materials Refinery,MAR,Morocco,"Casablanca, El Jadida, Morocco","32.4674, -7.6200",plant,unknown,Lithium (lfp planned),Cobalt sulfate; Nickel sulfate,Al Mada; CNGR Advanced Materials; COBCO,A,facilities/MAR/mar-cobco-battery-materials-plant-fac.json
mar-managem-glencore-recycling-refinery-fac,Managem Glencore Recycling Refinery,MAR,Morocco,"Marrakech, Marrakech-Safi, Morocco","31.6252, -7.5992",plant,unknown,Lithium carbonate (recycled),Cobalt (recycled); Nickel (recycled),Al Mada; Glencore; Managem,A,facilities/MAR/mar-managem-glencore-recycling-refinery-fac.json
mar-zen-lithium-project-fac,ZEN Lithium Exploration,MAR,Morocco,"Ouarzazate, Morocco","30.9167, -6.9167",plant,unknown,Lithium,,Atlas Mining,A,facilities/MAR/mar-zen-lithium-project-fac.json
moz-zambezia-pegmatite-project-fac,Zambezia Pegmatite Mine,MOZ,Mozambique,"Zambezia, Mozambique","-17.0000, 37.0000",plant,unknown,Lithium,Niobium (columbite); Tantalum,Altona Rare Earths Plc; Highland African Mining Company; Noventa Group,A,facilities/MOZ/moz-zambezia-pegmatite-project-fac.json
nam-karibib-fac,Karibib Mine,NAM,Namibia,"Erongo, Namibia","-21.9722, 15.7733",mine,unknown,Lithium,,QKR; QKR Namibia (Pty) Ltd,A,facilities/NAM/nam-karibib-fac.json
nam-uis-tin-mine-fac,Uis Tin Mine,NAM,Namibia,"Erongo Region, Namibia","-21.2167, 14.8811",mine,unknown,Spodumene,Copper; Niobium; Rubidium; Tantalum; Tin; Tungsten,AfriTin Mining Ltd; Andrada Mining Ltd; The Small Miners of Uis (SMU),A,facilities/NAM/nam-uis-tin-mine-fac.json
