facility_id,name,country_iso3,country,location,lat_lon,type,status,lithium_form,coproducts_byproducts,companies,evidence_tier,source_file
arg-cauchari-olaroz-fac,Cauchari Olaroz Mine,ARG,Argentina,"Jujuy, Argentina","-23.4270, -66.6470",mine,unknown,Lithium,,Ganfeng Lithium Co. Ltd.; Jujuy Energía y Minería Sociedad del Estado (JEMSE); Lithium Argentina AG; Minera Exar S.A.,A,facilities/ARG/arg-cauchari-olaroz-fac.json
arg-centenario-ratones-fac,Centenario Ratones Mine,ARG,Argentina,"Salta, Argentina","-24.0000, -66.0000",mine,unknown,,,Eramet; Eramine Sudamerica; Eramine Sudamérica SA; Tsingshan Holding Group,C,facilities/ARG/arg-centenario-ratones-fac.json
arg-f-nix-project-fac,Fénix Mine,ARG,Argentina,"Catamarca, Argentina","-25.5000, -66.5000",mine,unknown,,,Arcadium Lithium plc; Minera del Altiplano S.A.; Rio Tinto plc,C,facilities/ARG/arg-f-nix-project-fac.json
arg-mariana-fac,Mariana Mine,ARG,Argentina,"Salta, Argentina","-23.5000, -66.5000",mine,unknown,,,"Ganfeng Lithium Group Co., Ltd.; Litio Minera Argentina S.A.",C,facilities/ARG/arg-mariana-fac.json
arg-muerto-north-fac,Muerto North Mine,ARG,Argentina,"Salta, Argentina","-25.4420, -67.1020",mine,unknown,Lithium,,Lithium South; Lithium South Development Corporation; NRG Metals,A,facilities/ARG/arg-muerto-north-fac.json
arg-pastos-grandes-fac,Pastos Grandes Mine,ARG,Argentina,"Salta, Argentina","-24.5730, -66.7010",mine,unknown,Lithium,,Ganfeng Lithium Co. Ltd.; Lithium Argentina (Argentina) Corp.,A,facilities/ARG/arg-pastos-grandes-fac.json
arg-reflejos-del-mar-mine-fac,Reflejos Del Mar Mine,ARG,Argentina,"Catamarca, Argentina","-28.4350, -65.4340",mine,unknown,Lithium,,Latin Resources Ltd,A,facilities/ARG/arg-reflejos-del-mar-mine-fac.json
arg-sal-de-vida-fac,Sal De Vida Mine,ARG,Argentina,"Catamarca, Argentina","-25.4094, -66.9124",mine,unknown,Lithium,,Allkem Ltd.; Galaxy Lithium (Sal de Vida) S.A.; Galaxy Resources Ltd.,A,facilities/ARG/arg-sal-de-vida-fac.json
arg-salar-de-olaroz-fac,Salar De Olaroz Mine,ARG,Argentina,"Jujuy, Argentina","-23.4624, -66.7025",mine,unknown,Lithium,,Allkem Limited; Jujuy Energía y Minería Sociedad del Estado; Sales de Jujuy S.A.; Toyota Tsusho Corporation,A,facilities/ARG/arg-salar-de-olaroz-fac.json
arg-salar-ratones-fac,Salar Ratones Mine,ARG,Argentina,"Salta, Argentina","-25.1640, -66.7500",mine,unknown,Lithium,,Eramet; Eramine,A,facilities/ARG/arg-salar-ratones-fac.json
aus-altura-fac,Altura Mine,AUS,Australia,"Western Australia, Australia","-20.5000, 118.9000",mine,unknown,Lithium,Copper; Gold; Iron ore; Silver; Tin,Altura Lithium Operations Pty Ltd; Altura Mining Limited; Pilbara Minerals Limited,A,facilities/AUS/aus-altura-fac.json
aus-bald-hill-central-fac,Bald Hill Central Mine,AUS,Australia,"Western Australia, Australia","-30.0000, 121.0000",mine,unknown,Lithium,Niobium; Tin,Alita Resources Ltd; Alliance Mineral Assets Ltd; Mineral Resources Ltd; Tawana Resources NL,A,facilities/AUS/aus-bald-hill-central-fac.json
aus-bellevue-fac,Bellevue Mine,AUS,Australia,"Western Australia, Australia","-28.5000, 120.5000",mine,unknown,Lithium,Gold; Nickel,Bellevue Gold Limited,A,facilities/AUS/aus-bellevue-fac.json
aus-british-king-fac,British King Mine,AUS,Australia,"Western Australia, Australia","-28.5000, 121.5000",mine,unknown,Lithium,Gold,Central Iron Ore; Red 5 Ltd,A,facilities/AUS/aus-british-king-fac.json
aus-central-norseman-mine-fac,Central Norseman Mine,AUS,Australia,"Western Australia, Australia","-32.1960, 121.7960",mine,unknown,Lithium,Cobalt; Gold; Nickel; Silver; Tantalum,Pantoro Limited; Tulla Resources,A,facilities/AUS/aus-central-norseman-mine-fac.json
aus-comet-vale-fac,Comet Vale Mine,AUS,Australia,"Western Australia, Australia","-29.9600, 121.1300",mine,unknown,Lithium,Bismuth; Caesium; Cobalt; Copper; Gold; Lanthanum; Lead; Nickel; Silver; Tungsten; Zinc,Gorilla Gold Mines Ltd,A,facilities/AUS/aus-comet-vale-fac.json
aus-finniss-fac,Finniss Mine,AUS,Australia,"Northern Territory, Australia","-12.7130, 130.7890",mine,unknown,Lithium,Niobium; Tin,Core Lithium Ltd,A,facilities/AUS/aus-finniss-fac.json
aus-forrestania-nickel-fac,Forrestania Nickel Mine,AUS,Australia,"Western Australia, Australia","-32.5810, 119.7370",mine,unknown,Lithium,Cobalt; Nickel,IGO Limited; Outokumpu Mining Australia Pty Ltd; Western Areas,A,facilities/AUS/aus-forrestania-nickel-fac.json
aus-golden-eagle-fac,Golden Eagle Mine,AUS,Australia,"Western Australia, Australia","-30.0440, 120.6590","mine, plant",unknown,Lithium,Gold,AIM Mining Corporation,A,facilities/AUS/aus-golden-eagle-fac.json
aus-golden-eagle-nullagine-fac,Golden Eagle Nullagine Mine,AUS,Australia,"Western Australia, Australia","-21.9650, 120.1240",mine,unknown,Lithium,Gold; Tantalum,AIM Mining Corporation; Calidus Resources; Millennium Minerals; Novo Resources,A,facilities/AUS/aus-golden-eagle-nullagine-fac.json
aus-greenbushes-mine-fac,Greenbushes Mine,AUS,Australia,"Western Australia, Australia","-33.7000, 116.1000",mine,unknown,Lithium,Kaolin; Tin,Albemarle Corporation; IGO Ltd.; Talison Lithium Australia Pty Ltd; Tianqi Lithium Corporation,A,facilities/AUS/aus-greenbushes-mine-fac.json
aus-higginsville-fac,Higginsville Mine,AUS,Australia,"Western Australia, Australia","-33.5000, 121.5000",mine,unknown,Lithium,Cobalt; Copper; Gold; Nickel; Palladium; Platinum,Karora Resources Inc.; Westgold Resources Ltd,A,facilities/AUS/aus-higginsville-fac.json
aus-kalgoorlie-gold-ops-fac,Kalgoorlie Gold Ops Mine,AUS,Australia,"Western Australia, Australia","-28.7000, 121.5000",mine,unknown,Lithium,Gold; Nickel; Niobium; Rubidium; Silver; Tantalum; Tin,Barrick Gold; Newmont Goldcorp; Northern Star Resources,A,facilities/AUS/aus-kalgoorlie-gold-ops-fac.json
aus-kathleen-valley-fac,Kathleen Valley Mine,AUS,Australia,"Western Australia, Australia","-26.5000, 120.5000",mine,unknown,Lithium,Gold,Liontown Resources Ltd,A,facilities/AUS/aus-kathleen-valley-fac.json
aus-mount-edwards-fac,Mount Edwards Mine,AUS,Australia,"Western Australia, Australia","-31.4630, 121.5320",mine,unknown,,Nickel,Consolidated Minerals; Estrella Resources; Neometals; Salt Lake Mining,C,facilities/AUS/aus-mount-edwards-fac.json
aus-mt-cattlin-fac,Mt Cattlin Mine,AUS,Australia,"Western Australia, Australia","-33.5625, 120.0352",mine,unknown,Lithium,Copper; Gold; Lead; Manganese; Niobium; Silica; Zinc,Arcadium Lithium; Galaxy Lithium Pty Ltd; Rio Tinto plc,A,facilities/AUS/aus-mt-cattlin-fac.json
aus-mt-holland-fac,Mt Holland Mine,AUS,Australia,"Western Australia, Australia","-32.0930, 119.7420",mine,unknown,Lithium; Spodumene,Tantalum,Covalent Lithium Pty Ltd; Kidman Resources Ltd; Sociedad Quimica y Minera de Chile (SQM); Wesfarmers,A,facilities/AUS/aus-mt-holland-fac.json
aus-mt-marion-fac,Mt Marion Mine,AUS,Australia,"Western Australia, Australia","-28.8000, 121.5000",mine,unknown,Lithium,Magnesium; Nickel; Tantalum,"Ganfeng Lithium Group Co., Ltd.; Mineral Resources Ltd.",A,facilities/AUS/aus-mt-marion-fac.json
aus-nickel-west-kwinana-refinery-fac,Nickel West Kwinana Refinery,AUS,Australia,"Western Australia, Australia","-32.2000, 115.8000","refinery, plant",unknown,Lithium,Gold; Nickel,BHP Billiton Ltd; BHP Nickel West Pty Ltd,A,facilities/AUS/aus-nickel-west-kwinana-refinery-fac.json
aus-pilgangoora-fac,Pilgangoora Mine,AUS,Australia,"Western Australia, Australia","-21.0640, 118.9050",mine,operating,Lithium,Tantalum,Pilbara Minerals Limited,A,facilities/AUS/aus-pilgangoora-fac.json
aus-the-mount-fac,The Mount Mine,AUS,Australia,"Queensland, Australia","-20.7333, 140.5000",mine,unknown,Lithium,Caesium; Gold; Tantalum,Glencore Mount Isa Mines; Glencore Xstrata plc; MIM Holdings Limited,A,facilities/AUS/aus-the-mount-fac.json
aus-white-dam-olary-fac,White Dam Olary Mine,AUS,Australia,"South Australia, Australia","-30.0000, 140.0000",mine,unknown,Lithium,Cobalt; Copper; Iron ore; Lanthanum; Nickel; Niobium; Palladium; Platinum; Silver; Tantalum; Tin; Uranium,GBM Resources Ltd; Olary Gold Mines; Pacgold Limited,A,facilities/AUS/aus-white-dam-olary-fac.json
aus-wiluna-s-fac,Wiluna S Mine,AUS,Australia,"Western Australia, Australia","-26.5000, 120.2000","mine, plant",unknown,Lithium,Antimony; Copper; Gold; Nickel; Palladium; Platinum; Silver,Wiluna Mining Corporation Limited,A,facilities/AUS/aus-wiluna-s-fac.json
aus-wodgina-fac,Wodgina Mine,AUS,Australia,"Western Australia, Australia","-20.5000, 118.5000",mine,unknown,Lithium,Iron ore; Tin,Albemarle Corporation; Mineral Resources Limited,A,facilities/AUS/aus-wodgina-fac.json
aut-wolfsberg-lithium-project-fac,Wolfsberg Lithium Mine,AUT,Austria,"Wolfsberg, Carinthia, Austria","46.8388, 15.1074",mine,unknown,Lithium,Feldspar; Quartz,Critical Metals Corp; Critical Metals Corp.; ECM Lithium AT GmbH; European Lithium; European Lithium Limited,A,facilities/AUT/aut-wolfsberg-lithium-project-fac.json
bol-salar-de-coipasa-fac,Salar De Coipasa Mine,BOL,Bolivia,"Oruro, Bolivia","-19.3640, -68.1330",mine,unknown,Lithium,,Xinjiang TBEA Group-Baocheng; Yacimientos de Litio Bolivianos (YLB),A,facilities/BOL/bol-salar-de-coipasa-fac.json
bol-salar-de-uyuni-fac,Salar De Uyuni Mine,BOL,Bolivia,"Potosí Department, Bolivia","-20.1333, -66.8333",mine,unknown,Lithium,,Corporación Minera de Bolivia (COMIBOL); Yacimientos de Litio Bolivianos (YLB),A,facilities/BOL/bol-salar-de-uyuni-fac.json
bra-cachoeira-fac,Cachoeira Mine,BRA,Brazil,"Belém, Pará, Brazil","-2.8568, -47.0692",mine,unknown,Lithium,,Brazil Resources Inc.; Luna Gold Corp.,A,facilities/BRA/bra-cachoeira-fac.json
bra-grota-do-cirilo-fac,Grota Do Cirilo Mine,BRA,Brazil,"Minas Gerais, Brazil","-16.7360, -41.9050",mine,unknown,Lithium,,Sigma Lithium Corp; Sigma Lithium Resources Corp; Sigma Mineração S.A.,A,facilities/BRA/bra-grota-do-cirilo-fac.json
bra-mibra-fac,Mibra Mine,BRA,Brazil,"Belo Horizonte, Minas Gerais, Brazil","-20.7508, -44.8277",mine,unknown,Lithium,Niobium; Tin,AMG Brazil,A,facilities/BRA/bra-mibra-fac.json
bra-quixeramobim-fac,Quixeramobim Mine,BRA,Brazil,"Ceará, Brazil","-5.2000, -39.3000",mine,unknown,Lithium,,MMX Mineração,A,facilities/BRA/bra-quixeramobim-fac.json
cmr-ndom-licence-area-fac,Ndom Licence Area Mine,CMR,Cameroon,"Adamaoua, Cameroon","6.3000, 13.8000",mine,unknown,,,Oriole Resources PLC,C,facilities/CMR/cmr-ndom-licence-area-fac.json
can-b-cancour-lithium-hydroxide-plant-fac,BÃ©cancour Lithium Hydroxide Refinery,CAN,Canada,"Quebec, Canada","46.3674, -72.4040",refinery,planned,,,Investissement Quebec; Investissement Québec; Livent Corp; Livent Corp.; Nemaska Lithium; Nemaska Lithium Inc; Nemaska Lithium Inc.; Orion Mine Finance; Pallinghurst Group,B,facilities/CAN/can-b-cancour-lithium-hydroxide-plant-fac.json
can-clearwater-lithium-project-fac,Clearwater Lithium Refinery,CAN,Canada,"Calgary, Alberta, Canada","51.7737, -114.0575",plant,unknown,,,1975293 Alberta Ltd.; E3 Lithium Ltd.,B,facilities/CAN/can-clearwater-lithium-project-fac.json
can-james-bay-fac,James Bay Mine,CAN,Canada,"Matagami, Quebec, Canada","51.1061, -77.6300",mine,unknown,Lithium,,Allkem Ltd.; Rio Tinto Group,A,facilities/CAN/can-james-bay-fac.json
can-north-american-lithium-fac,North American Lithium Mine,CAN,Canada,"Val d’Or, Quebec, Canada","48.6419, -77.7876",mine,unknown,Lithium,,Piedmont Lithium; Sayona Mining; Sayona Québec,A,facilities/CAN/can-north-american-lithium-fac.json
can-whabouchi-fac,Whabouchi Mine,CAN,Canada,"Nemaska, Quebec, Canada","51.7042, -75.9264",mine,unknown,Lithium,,Investissement Quebec Inc.; Nemaska Lithium Inc.; Rio Tinto plc,A,facilities/CAN/can-whabouchi-fac.json
chl-la-negra-plant-fac,La Negra Mine,CHL,Chile,"Antofagasta Region, Chile","-23.5000, -70.4000",mine,unknown,,,Albemarle Corporation,C,facilities/CHL/chl-la-negra-plant-fac.json
chl-maricunga-fac,Maricunga Mine,CHL,Chile,"Atacama, Chile","-26.7480, -69.0750",mine,unknown,Lithium,,Codelco; Rio Tinto,A,facilities/CHL/chl-maricunga-fac.json
chl-salar-de-atacama-fac,Salar De Atacama Mine,CHL,Chile,"Antofagasta Region, Chile","-23.5000, -67.5000","mine, plant",unknown,Lithium,Magnesium; Potash,Sociedad Quimica y Minera de Chile S.A.; Sociedad Quimica y Minera de Chile S.A. (SQM),A,facilities/CHL/chl-salar-de-atacama-fac.json
chl-salar-del-carmen-fac,Salar Del Carmen Mine,CHL,Chile,"Antofagasta, Antofagasta Region, Chile","-23.6200, -70.3500",mine,unknown,,,Corporación de Fomento de la Producción (CORFO); Sociedad Química y Minera de Chile (SQM); Sociedad Química y Minera de Chile S.A. (SQM),C,facilities/CHL/chl-salar-del-carmen-fac.json
chl-salar-del-carmen-salar-de-atacama-fac,Salar Del Carmen/salar De Atacama Plant,CHL,Chile,"Antofagasta Region, Chile","-23.5000, -67.5000",plant,unknown,Lithium,Bismuth; Potash,Sociedad Química y Minera de Chile (SQM),A,facilities/CHL/chl-salar-del-carmen-salar-de-atacama-fac.json
chn-dongtai-jinaier-fac,Dongtai Jinaier Mine,CHN,China,"Qinghai, China","37.4420, 94.0800",mine,unknown,Lithium,,Qinghai CITIC Guoan Technology Development (2.16%); Qinghai Dongtai Jinai’er Lithium Resources; Qinghai Lianyu Potash (20.34%); Qinghai State-owned Assets Investment Management (1%); Qinghai Taifeng Xianxing Lithium Energy Technology (49.5%); Western Mining (27%),A,facilities/CHN/chn-dongtai-jinaier-fac.json
chn-qinghai-misc-brines-fac,Qinghai Misc Brines Mine,CHN,China,"Qinghai, China","31.3800, 83.9780",mine,unknown,Lithium,,"China Minmetals Corporation; China Salt Lake Industry Group Co., Ltd.; Qinghai province",A,facilities/CHN/chn-qinghai-misc-brines-fac.json
chn-xitai-jinaier-fac,Xitai Jinaier Mine,CHN,China,"Qinghai, China","37.6890, 93.5270",mine,unknown,Lithium,,"Qinghai Dongtai Jinaier lithium resources Co., Ltd.; Western Mining Group Co., Ltd.",A,facilities/CHN/chn-xitai-jinaier-fac.json
civ-agboville-adzop-project-fac,Agboville/adzopÃ© Exploration,CIV,Cote d'Ivoire,"Lagunes, Cote d'Ivoire","5.9280, -4.2132",project-exploration,unknown,Lithium,,Desert Metals Limited; Khaleesi Resources SARL,A,facilities/CIV/civ-agboville-adzop-project-fac.json
civ-atex-lithium-coltan-project-fac,Atex Lithium Coltan Exploration,CIV,Cote d'Ivoire,"Boundiali, Côte d'Ivoire, Cote d'Ivoire","9.8849, -6.4820",plant,unknown,Lithium,Tantalum,Alliance Minerals Corporation Sarl; Atex Mining Resources; Firering Holdings Limited; Firering PLC; Firering Strategic Minerals Plc,A,facilities/CIV/civ-atex-lithium-coltan-project-fac.json
civ-rubino-agboville-licenses-fac,Rubino/agboville Licenses Exploration,CIV,Cote d'Ivoire,"Agnéby-Tiassa, Cote d'Ivoire","5.9350, -4.2230",plant,unknown,Lithium,,Atlantic Lithium; Atlantic Lithium Limited; Atlantic Lithium Ltd; Atlantic Lithium Ltd.; Khaleesi Resources SARL,A,facilities/CIV/civ-rubino-agboville-licenses-fac.json
cze-c-novec-project-fac,Cínovec Development,CZE,Czechia,"Ústí nad Labem, Czechia","50.7300, 13.7600",plant,unknown,,,CEZ a.s.; European Metals Holdings Limited; European Metals Holdings Ltd.; European Metals Holdings); GEOMET s.r.o. (ČEZ Group; Geomet a.s.; Geomet s.r.o.; ČEZ a.s.,C,facilities/CZE/cze-c-novec-project-fac.json
cod-kitotolo-fac,Kitotolo Mine,COD,DR Congo,"Tanganyika, DR Congo","-7.3230, 27.3850",mine,unknown,Lithium,,AVZ Minerals; Cominière; Force Commodities Ltd; Manono Lithium SAS; Tantalex Resources Corporation; Zijin Mining,A,facilities/COD/cod-kitotolo-fac.json
